country_name,country_iso,provider,region_code,gpu_class,budget_usd,reference_hours,normalization_method,availability_class,alpha_availability,on_demand_usd_per_gpu_hr,nominal_run_cost_usd,ppp_factor,normalization_value,adjusted_run_cost_usd,runs_per_budget,affordable_chips,eca_economic_tflops,eca_nominal_tflops,bis_tier,eca_scenario_a,eca_scenario_b_low,eca_scenario_b_mid,eca_scenario_b_high,eca_scenario_c,eca_continuous_tflops,eca_continuous_scenario_a,eca_continuous_scenario_b_mid,ratio_to_usa_scenario_a,is_local_region,data_sovereignty_class
Singapore,SGP,gcp,asia-southeast1,H100_SXM5,10000.0,720,ppp,GA,1.0,4.1,2952.0,0.58,0.58,5089.66,1.965,1,989.5,2968.5,2,989.5,296.8,494.8,692.6,0.0,1944.1,1944.1,972.1,0.333,True,cross_border_restricted
Singapore,SGP,gcp,asia-southeast1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.58,1137.6,0.58,0.58,1961.38,5.098,5,1560.0,2496.0,2,1560.0,468.0,780.0,1092.0,0.0,1590.7,1590.7,795.4,0.556,True,cross_border_restricted
Singapore,SGP,azure,eastus,H100_SXM5,10000.0,720,ppp,GA,1.0,12.29,8848.8,0.58,0.58,15256.55,0.655,0,0.0,989.5,2,0.0,0.0,0.0,0.0,0.0,648.6,648.6,324.3,0.0,False,cross_border_restricted
Singapore,SGP,azure,eastus,A100_SXM4,10000.0,720,ppp,GA,1.0,4.648,3346.56,0.58,0.58,5769.93,1.733,1,312.0,624.0,2,312.0,93.6,156.0,218.4,0.0,540.7,540.7,270.4,0.5,False,cross_border_restricted
Nigeria,NGA,aws,us-east-1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.933,2831.76,0.2,0.2,14158.8,0.706,0,0.0,2968.5,2,0.0,0.0,0.0,0.0,0.0,698.9,698.9,349.4,0.0,False,cross_border_restricted
Nigeria,NGA,aws,us-east-1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.475,1062.0,0.2,0.2,5310.0,1.883,1,312.0,2808.0,2,312.0,93.6,156.0,218.4,0.0,587.6,587.6,293.8,0.111,False,cross_border_restricted
Nigeria,NGA,gcp,us-central1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.82,2750.4,0.2,0.2,13752.0,0.727,0,0.0,2968.5,2,0.0,0.0,0.0,0.0,0.0,719.5,719.5,359.8,0.0,False,cross_border_restricted
Nigeria,NGA,gcp,us-central1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.47,1058.4,0.2,0.2,5292.0,1.89,1,312.0,2808.0,2,312.0,93.6,156.0,218.4,0.0,589.6,589.6,294.8,0.111,False,cross_border_restricted
Nigeria,NGA,azure,eastus,H100_SXM5,10000.0,720,ppp,GA,1.0,12.29,8848.8,0.2,0.2,44244.0,0.226,0,0.0,989.5,2,0.0,0.0,0.0,0.0,0.0,223.6,223.6,111.8,0.0,False,cross_border_restricted
Nigeria,NGA,azure,eastus,A100_SXM4,10000.0,720,ppp,GA,1.0,4.648,3346.56,0.2,0.2,16732.8,0.598,0,0.0,624.0,2,0.0,0.0,0.0,0.0,0.0,186.5,186.5,93.2,0.0,False,cross_border_restricted
China,CHN,aws,us-east-1,H100_SXM5,10000.0,720,ppp,Unavailable,0.0,3.933,2831.76,0.49,0.49,5779.1,1.73,1,989.5,2968.5,3,0.0,0.0,0.0,0.0,0.0,1712.2,0.0,0.0,0.0,False,localization_required
China,CHN,aws,us-east-1,A100_SXM4,10000.0,720,ppp,Unavailable,0.0,1.475,1062.0,0.49,0.49,2167.35,4.614,4,1248.0,2808.0,3,0.0,0.0,0.0,0.0,0.0,1439.5,0.0,0.0,0.0,False,localization_required
China,CHN,gcp,us-central1,H100_SXM5,10000.0,720,ppp,Unavailable,0.0,3.82,2750.4,0.49,0.49,5613.06,1.782,1,989.5,2968.5,3,0.0,0.0,0.0,0.0,0.0,1762.9,0.0,0.0,0.0,False,localization_required
China,CHN,gcp,us-central1,A100_SXM4,10000.0,720,ppp,Unavailable,0.0,1.47,1058.4,0.49,0.49,2160.0,4.63,4,1248.0,2808.0,3,0.0,0.0,0.0,0.0,0.0,1444.4,0.0,0.0,0.0,False,localization_required
China,CHN,azure,eastus,H100_SXM5,10000.0,720,ppp,Unavailable,0.0,12.29,8848.8,0.49,0.49,18058.78,0.554,0,0.0,989.5,3,0.0,0.0,0.0,0.0,0.0,547.9,0.0,0.0,0.0,False,localization_required
China,CHN,azure,eastus,A100_SXM4,10000.0,720,ppp,Unavailable,0.0,4.648,3346.56,0.49,0.49,6829.71,1.464,1,312.0,624.0,3,0.0,0.0,0.0,0.0,0.0,456.8,0.0,0.0,0.0,False,localization_required
